n__denuncia;cups;fec_alta;estado;filepath;data_date;op
1;ES0022000000000000AA1P;20/06/2023 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
2;ES0022000000000000AA1P;08/05/2024 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
3;ES0022000000000000AA1P;26/06/2023 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
4;ES0022000000000000BH1P;08/06/2023 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
5;ES0022000000000000FX1P;10/09/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
6;ES0022000000000000FX1P;20/08/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
7;ES0022000000000000FX1P;10/09/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
8;ES0022000000000000FX1P;11/09/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
9;ES0022000000000000FX1P;05/06/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
10;ES0022000000000000FX1P;22/10/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
11;ES0022000000000000FX1P;15/06/2022 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
12;ES0022000000000000FX1P;19/10/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
13;ES0022000000000000FX1P;15/06/2022 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
14;ES0022000000000000FX1P;10/09/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
15;ES0022000000000000FX1P;11/09/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
16;ES0022000000000000FX1P;08/09/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
17;ES0022000000000000FX1P;23/06/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
18;ES0022000000000000FX1P;10/09/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
19;ES0022000000000000FX1P;23/06/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
20;ES0022000000000000FX1P;20/08/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
21;ES0022000000000000FX1P;03/03/2021 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
22;ES0022000000000000FX1P;19/08/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
23;ES0022000000000000FX1P;14/10/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
24;ES0022000000000000FX1P;20/08/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
25;ES0022000000000000FX1P;08/09/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
26;ES0022000000000000FX1P;08/09/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
27;ES0022000000000000FX1P;06/10/2021 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
28;ES0022000000000000FX1P;14/07/2022 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
29;ES0022000000000000FX1P;11/09/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
30;ES0022000000000000FX1P;07/09/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
31;ES0022000000000000FX1P;14/10/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
32;ES0022000000000000FX1P;20/05/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
33;ES0022000000000000FX1P;11/09/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
34;ES0022000000000000FX1P;11/09/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
35;ES0022000000000000FX1P;04/10/2021 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
36;ES0022000000000000FX1P;11/09/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
37;ES0022000000000000FX1P;08/09/2022 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
38;ES0022000000000000FX1P;14/09/2022 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
39;ES0022000000000000FX1P;11/09/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
40;ES0022000000000000FX1P;11/09/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
41;ES0022000000000000NN1P;07/06/2023 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
42;ES0022000000000000SP1P;06/06/2023 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
43;ES0022000000000000WW1P;27/06/2023 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
44;ES0022000000000074XS1P;23/04/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
45;ES0022000000000664JF1P;03/04/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
46;ES0022000000011716XL1P;12/02/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
47;ES0022000000012110GE1P;15/04/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
48;ES0022000000012111MT1P;04/05/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
49;ES0022000000012122MB1P;15/04/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
50;ES0022000000012122MB1P;15/04/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
51;ES0022000000012122MB1P;27/04/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
52;ES0022000000012130ML1P;15/04/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
53;ES0022000000012130ML1P;17/04/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
54;ES0022000000012130ML1P;06/05/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
55;ES0022000000012177FC1P;27/04/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
56;ES0022000000012185PM1P;17/04/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
57;ES0022000000012185PM1P;05/05/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
58;ES0022000000012189PD1P;17/04/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
59;ES0022000000012204DR1P;06/05/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
60;ES0022000000020535AY1P;06/05/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
61;ES0022000000044652QL1P;02/06/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
62;ES0022000000045235LG1P;21/05/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
63;ES0022000000049426VD1P;01/06/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
64;ES0022000000050273PM1P;18/06/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
65;ES0022000000050798PR1P;13/07/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
66;ES0022000000050801PG1P;13/08/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
67;ES0022000000050806PD1P;13/07/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
68;ES0022000000050821DR1P;13/08/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
69;ES0022000000050822DW1P;13/08/2020 0:00;;s3://naturgy-dlakeufd-pro/landing/IRREGULARIDADES_FRAUDES/Denuncias/Denuncias_FULL_20250721.csv;1541413800;I
