grupo;subgrupo;descripcion;numero;desc_evento
1, 2, 3, 4, 5 y 6;0;Reset de evento;255;Indica que el evento ha sido limpiado
1;10;Arranques y Fallos Alimentación;1;Arranque registrador con perdida de datos
1;10;Arranques y Fallos Alimentación;2;Arranque registrador sin perdida de datos
1;10;Arranques y Fallos Alimentación;3;Fallo alimentación registrador (apagado)
1;10;Arranques y Fallos Alimentación;4;Fallo tensión de medida fase 1
1;10;Arranques y Fallos Alimentación;5;Fallo tensión de medida fase 2
1;10;Arranques y Fallos Alimentación;6;Fallo tensión de medida fase 3
1;10;Arranques y Fallos Alimentación;7;Pérdida de neutro
1;10;Arranques y Fallos Alimentación;8;Batería baja
1;10;Errores Internos críticos de fabricante;9;Error interno crítico 
1;10;Otros errores fabricante;oct-20;otros errores
1;10;;21;Fin Fallo tensión Fase 1
1;10;;22;Fin Fallo tensión Fase 2
1;10;;23;Fin Fallo tensión Fase 3
1;10;;24;Cambio oficial hora: Invierno --> Verano
1;10;;25;Cambio oficial hora: Verano --> Invierno
1;10;Reserva para usos futuros;26-29;Reservado
1;10;Cambio de Parámetros;30;Cambio parámetros registrador (parámetros no incluidos en otros eventos de cambio de parámetros)
1;10;Cambio de Parámetros;31;Cambio configuración puertos comunicaciones
1;10;Cambio de Parámetros;32;Cambio Clave Consulta/Lectura
1;10;Cambio de Parámetros;33;Cambio Clave Parametrización
1;10;Cambio de Parámetros;34;Cambio Clave Firmware
1;10;Cambio de Parámetros;35;Realizado Reset de Batería
1;10;Cambio de Parámetros;36;Cambio de Cambio Automático I/V
1;10;Cambio de Parámetros;37;Cambio Tiempo Mínimo entre Cierres
1;10;Cambio de Parámetros;38;Cambio Periodo Integración Curvas de Carga
1;10;Cambio de Parámetros;39;Cambio Relación Transformación (solo para MI)
1;10;Cambio de Parámetros;40;Cambio Tipo Sincronismo Reloj
1;10;Cambio de Parámetros;41;Cambio Etiqueta Programación
1;10;Cambio de Parámetros;42;Cambio Estado Activación Cierres por Pulsador
1;10;Cambio de Parámetros;43;Cambio Asignación de Salidas
1;10;Contrato 1;44;Cierre Contrato 1 por comando 
1;10;Contrato 1;45;Cambio parámetros Contrato 1
1;10;Contrato 1;46;Reserva uso futuro
1;10;Contrato 1;47;Cambio Tabla Días Especiales Contrato 1 latente
1;10;Contrato 1;48;Cambio Tabla Temporadas Contrato 1 latente
1;10;Contrato 1;49;Borrada Programación Contrato 1 latente
1;10;Contrato 1;50;Cambio Cierres Automáticos Contrato 1 latente
1;10;Contrato 1;51;Cambio Fecha Activación Contrato 1 latente
1;10;Contrato 2;52;Cierre Contrato 2 por comando
1;10;Contrato 2;53;Cambio parámetros Contrato 2
1;10;Contrato 2;54;Cambio Tabla Días Especiales Contrato 2 latente
1;10;Contrato 2;55;Cambio Tabla Temporadas Contrato 2 latente
1;10;Contrato 2;56;Borrada Programación Contrato 2 latente
1;10;Contrato 2;57;Cambio Cierres Automáticos Contrato 2 latente
1;10;Contrato 2;58;Cambio Fecha Activación Contrato 2 latente
1;10;Contrato 3;59;Cierre Contrato 3 por comando
1;10;Contrato 3;60;Cambio parámetros Contrato 3
1;10;Contrato 3;61;Cambio Tabla Días Especiales Contrato 3 latente
1;10;Contrato 3;62;Cambio Tabla Temporadas Contrato 3 latente
1;10;Contrato 3;63;Borrada Programación Contrato 3 latente
1;10;Contrato 3;64;Cambio Cierres Automáticos Contrato 3 latente
