data_date;idrpt;idpet;version;cnc_id;cnt_id;fh;season;et;c;d1;d2;zip_file;xml_file;partition_0;partition_1;partition_2
2018-01-04 16:30:00.000;S09;366088851;3.1.c;ZIV0004434395;ZIV0048606736;;W;6;4;;;S09-ZO-20180104-1630_20180104174553.zip;;2018;1;4
2018-01-05 16:00:00.000;S09;366466521;3.1.c;ZIV0000036284;SAG0145152367;;W;1;2;;;S09-ZO-20180105-1600_20180105174547.zip;;2018;1;5
2018-01-08 15:30:00.000;S09;367781541;3.1.c;CIR4621326029;SAG0175604573;;W;3;13;;;S09-ZO-20180108-1530_20180108174545.zip;;2018;1;8
2018-01-12 10:30:00.000;S09;369327721;3.1.c;ZIV0004323991;ZIV0042527040;;W;1;98;;;S09-ZO-20180112-1030_20180112174549.zip;;2018;1;12
2018-01-12 10:30:00.000;S09;369329371;3.1.c;ZIV0004373575;SAG0135603005;;W;3;1;;;S09-ZO-20180112-1030_20180112174549.zip;;2018;1;12
2018-01-17 16:00:00.000;S09;371410041;3.1.c;ZIV0004400890;SAG0125718334;;W;1;44;;;S09-ZO-20180117-1600_20180117174546.zip;;2018;1;17
2018-01-29 16:30:00.000;S09;376105621;3.1.c;ZIV0004404595;SAG0156146638;;W;3;2;;;S09-ZO-20180129-1630_20180129174534.zip;;2018;1;29
2018-01-29 19:00:00.000;S09;376107821;3.1.c;CIR4621724819;SAG0175623058;;W;1;66;;;S09-ZO-20180129-1900_20180130054519.zip;;2018;1;29
2018-02-05 20:30:00.000;S09;377159151;3.1.c;ZIV0004312543;ZIV0042715453;;W;6;2;;;S09-ZO-20180205-2030_20180206054550.zip;;2018;2;5
2018-02-05 21:00:00.000;S09;377160011;3.1.c;ZIV0004424856;ZIV0035217752;;W;3;14;;;S09-ZO-20180205-2100_20180206054529.zip;;2018;2;5
2018-02-13 08:00:00.000;S09;379022811;3.1.c;ZIV0004304663;SAG0115231355;;W;6;1;;;S09-ZO-20180213-0800_20180213174539.zip;;2018;2;13
2018-02-13 13:30:00.000;S09;379062401;3.1.c;ZIV0004327210;ZIV0048329637;;W;1;30;;;S09-ZO-20180213-1330_20180213174559.zip;;2018;2;13
2018-02-19 16:00:00.000;S09;381795181;3.1.c;ZIV0004310573;SAG0125727370;;W;6;3;;;S09-ZO-20180219-1600_20180219174544.zip;;2018;2;19
2018-02-19 18:30:00.000;S09;381796261;3.1.c;ZIV0004310867;SAG0175651140;;W;3;1;;;S09-ZO-20180219-1830_20180220054524.zip;;2018;2;19
2018-02-21 20:00:00.000;S09;382642561;3.1.c;CIR4621548593;ZIV0042734760;;W;1;1;;;S09-ZO-20180221-2000_20180222054534.zip;;2018;2;21
2018-03-02 15:00:00.000;S09;385694701;3.1.c;ZIV0004312547;SAG0175674142;;W;1;44;;;S09-ZO-20180302-1500_20180302174532.zip;;2018;3;2
2018-03-09 16:00:00.000;S09;389060681;3.1.c;ZIV0004425024;ZIV0042461032;;W;6;4;;;S09-ZO-20180309-1600_20180309174552.zip;;2018;3;9
2018-03-12 16:30:00.000;S09;390134491;3.1.c;ZIV0004312437;ZIV0040131733;;W;1;66;;;S09-ZO-20180312-1630_20180312174529.zip;;2018;3;12
2018-03-12 17:00:00.000;S09;390136111;3.1.c;ZIV0004310999;ZIV0044279507;;W;3;13;;;S09-ZO-20180312-1700_20180312174525.zip;;2018;3;12
2018-03-19 16:00:00.000;S09;392783391;3.1.c;ZIV0004310497;SOG0040059218;;W;6;2;;;S09-ZO-20180319-1600_20180319174532.zip;;2018;3;19
2018-03-19 16:30:00.000;S09;392784381;3.1.c;ZIV0004310786;SAG0115282022;;W;3;2;;;S09-ZO-20180319-1630_20180319174525.zip;;2018;3;19
2018-03-19 16:30:00.000;S09;392784891;3.1.c;ZIV0004327734;SAG0155448706;;W;1;30;;;S09-ZO-20180319-1630_20180319174525.zip;;2018;3;19
2018-03-19 17:00:00.000;S09;392785221;3.1.c;ZIV0004404602;ITE0131407559;;W;3;14;;;S09-ZO-20180319-1700_20180319174510.zip;;2018;3;19
2018-03-26 14:00:00.000;S09;395103641;3.1.c;ZIV0004424907;SAG0145202235;;W;1;2;;;S09-ZO-20180326-1400_20180326174436.zip;;2018;3;26
2018-04-09 16:30:00.000;S09;401684891;3.1.c;ZIV0000036271;ZIV0047315228;;S;6;1;;;S09-ZO-20180409-1630_20180409174438.zip;;2018;4;9
